PF00389	2-Hacid_dh
PF03199	GSH_synthase
PF00255	GSHPx
PF03738	GSP_synth
PF00437	T2SE
PF05157	T2SE_Nter
PF00482	T2SF
PF00263	Secretin
PF01203	T2SN
PF03958	Secretin_N
PF02501	T2SI
PF03934	T2SK
PF05134	T2SL
PF04612	T2SM
PF00043	GST_C
PF02798	GST_N
PF00735	Septin
PF00925	GTP_cyclohydro2
PF01227	GTP_cyclohydroI
PF04670	Gtr1_RagA
PF04138	GtrA
PF00211	Guanylate_cyc
PF00625	Guanylate_kin
PF02058	Guanylin
PF05120	GvpG
PF05121	GvpK
PF02213	GYF
PF02895	H-kinase_dim
PF03030	H_PPase
PF01725	Ham1p_like
PF04388	Hamartin
PF01567	Hanta_G1
PF01561	Hanta_G2
PF00846	Hanta_nucleocap
PF03866	HAP
PF01543	HCV_capsid
PF01542	HCV_core
PF01539	HCV_env
PF01560	HCV_NS1
PF01538	HCV_NS2
PF02907	Peptidase_S29
PF01006	HCV_NS4a
PF01001	HCV_NS4b
PF01506	HCV_NS5a
PF04618	HD-ZIP_N
PF02329	HDC
PF02924	HDPD
PF01517	HDV_ag
PF02985	HEAT
PF03130	HEAT_PBS
PF00632	HECT
PF03451	HELP
PF03996	Hema_esterase
PF02710	Hema_HEFG
PF00509	Hemagglutinin
PF01126	Heme_oxygenase
PF00372	Hemocyanin_M
PF03723	Hemocyanin_C
PF03722	Hemocyanin_N
PF00045	Hemopexin
PF05171	HemS
PF00906	Hepatitis_core
PF01771	Herpes_alk_exo
PF04793	Herpes_BBRF1
PF05109	Herpes_BLLF1
PF04633	Herpes_BMRF2
PF04682	Herpes_BTRF1
PF04929	Herpes_DNAp_acc
PF01673	Herpes_env
PF02480	Herpes_gE
PF01688	Herpes_gI
PF01528	Herpes_glycop
PF01537	Herpes_glycop_D
PF02489	Herpes_glycop_H
PF02689	Herpes_Helicase
PF03324	Herpes_HEPA
PF03585	Herpes_ICP4_C
PF03584	Herpes_ICP4_N
PF03361	Herpes_IE2_3
PF03363	Herpes_LP
PF03122	Herpes_MCP
PF04797	Herpes_ORF11
PF02399	Herpes_ori_bp
PF03325	Herpes_PAP
PF04846	Herpes_pp38
PF04637	Herpes_pp85
PF03326	Herpes_TAF50
PF04843	Herpes_teg_N
PF04523	Herpes_U30
PF04541	Herpes_U34
PF04533	Herpes_U44
PF04529	Herpes_U59
PF03580	Herpes_UL14
PF04559	Herpes_UL17
PF04544	Herpes_UL20
PF01646	Herpes_UL24
PF02760	HIN
PF03369	Herpes_UL3
PF02718	Herpes_UL31
PF03581	Herpes_UL33
PF03586	Herpes_UL36
PF03277	Herpes_UL4
PF05072	Herpes_UL43
PF03387	Herpes_UL46
PF03362	Herpes_UL47
PF04823	Herpes_UL49_2
PF04540	Herpes_UL51
PF04537	Herpes_UL55
PF04534	Herpes_UL56
PF01763	Herpes_UL6
PF01677	Herpes_UL7
PF03554	Herpes_UL73
PF01802	Herpes_V23
PF03327	Herpes_VP19C
PF01521	Fe-S_biosyn
PF02444	HEV_ORF1
PF02455	Hex_IIIa
PF00349	Hexokinase_1
PF03727	Hexokinase_2
PF03559	Hexose_dehydrat
PF04209	HgmA
PF01085	HH_signal
PF00730	HhH-GPD
PF03753	HHV6-IE
PF03486	HI0933_like
PF04588	HIG_1_N
PF01355	HIPIP
PF00713	Hirudin
PF02098	His_binding
PF00977	His_biosynth
PF00815	Histidinol_dh
PF00125	Histone
PF01230	HIT
PF00816	Histone_HNS
PF01870	Hjc
PF02110	HK
PF03865	ShlB
PF02794	HlyC
PF00529	HlyD
PF03201	HMD
PF01101	HMG14_17
PF00505	HMG_box
PF01154	HMG_CoA_synt_N
PF00682	HMGL-like
PF00423	HN
PF04814	HNF-1_N
PF04813	HNF-1A_C
PF04812	HNF-1B_C
PF01844	HNH
PF01848	HOK_GEF
PF05102	Holin_BlyA
PF05204	Hom_end
PF05203	Hom_end_hint
PF00046	Homeobox
PF00742	Homoserine_dh
PF00103	Hormone_1
PF00123	Hormone_2
PF00159	Hormone_3
PF00220	Hormone_4
PF00184	Hormone_5
PF00236	Hormone_6
PF04617	Hox9_act
PF01856	HP_OMP
PF02521	HP_OMP_2
PF03328	HpcH_HpaI
PF04982	HPP
PF01288	HPPK
PF02603	Hpr_kinase_N
PF01627	Hpt
PF01628	HrcA
PF04877	Hairpins
PF02218	HS1_rep
PF00447	HSF_DNA-bind
PF00011	HSP20
PF01430	HSP33
PF00012	HSP70
PF00183	HSP90
PF04119	HSP9_HSP12
PF04213	HtaA
PF00126	HTH_1
PF04967	HTH_10
PF01022	HTH_5
PF01418	HTH_6
PF02796	HTH_7
PF00165	HTH_AraC
PF04204	HTS
PF04955	HupE_UreJ
PF01455	HupF_HypC
PF04809	HupH_C
PF01750	HycI
PF01968	Hydantoinase_A
PF02538	Hydantoinase_B
PF01185	Hydrophobin
PF01155	HypA
PF01924	HypD
PF02494	HYR
PF01608	I_LWEQ
PF04568	IATP
PF01749	IBB
PF03617	IBV_3A
PF03622	IBV_3B
PF03620	IBV_3C
PF04629	ICA69
PF03921	ICAM_N
PF00818	Ice_nucleation
PF00656	Peptidase_C14
PF00463	ICL
PF03517	Voldacs
PF04140	ICMT
PF03971	IDH
PF01231	IDO
PF02479	Herpes_IE68
PF01008	IF-2B
PF00707	IF3_C
PF01652	IF4E
PF00932	LTD
PF00714	IFN-gamma
PF00047	ig
PF02395	Peptidase_S6
PF00219	IGFBP
PF01378	IgG_binding_B
PF00475	IGPD
PF00218	IGPS
PF05049	IIGP
PF00340	IL1
PF00726	IL10
PF03039	IL12
PF02372	IL15
PF02394	IL1_propep
PF00715	IL2
PF02059	IL3
PF00727	IL4
PF02025	IL5
PF00489	IL6
PF01415	IL7
PF00048	IL8
PF01787	Ilar_coat
PF01450	IlvC
PF00920	ILVD_EDD
PF05046	Img2
PF04156	IncA
PF02387	IncFII_repA
PF02974	Inh
PF00876	Innexin
PF01658	Inos-1-P_synth
PF00459	Inositol_P
PF03488	Ins_beta
PF03811	Zn_Tnp_IS1
PF00049	Insulin
PF00552	IN_DBD_C
PF02920	Integrase_DNA
PF00357	Integrin_alpha
PF00362	Integrin_beta
PF00143	Interferon
PF03487	IL13
PF01348	Intron_maturas2
PF03519	Invas_SpaK
PF04741	InvH
PF00904	Involucrin
PF02121	IP_trans
PF03278	IpaB_EvcA
PF04979	IPP-2
PF01715	IPPT
PF01745	IPT
PF00605	IRF
PF04120	Iron_permease
PF02060	ISK_Channel
PF00180	Iso_dh
PF04279	IspA
PF01128	IspD
PF01695	IstB_IS21
PF02189	ITAM
PF01156	IU_nuc_hydro
PF04183	IucA_IucC
PF01419	Jacalin
PF02375	JmjN
PF03957	Jun
PF01486	K-box
PF02960	K1
PF02149	KA1
PF02524	KID
PF00050	Kazal_1
PF03522	KCl_Cotrans_1
PF03520	KCNQ_channel
PF03812	KdgT
PF03814	KdpA
PF02669	KdpC
PF02702	KdpD
PF04962	KduI
PF02422	Keratin
PF01500	Keratin_B2
PF04579	Keratin_matx
PF03882	KicB
PF04383	KilA-N
PF02172	KIX
PF03037	KMP11
PF03790	KNOX1
PF03791	KNOX2
PF00051	Kringle
PF00197	Kunitz_legume
PF02442	L1R_F9L
PF05047	L51_S25_CI-B8
PF04604	L_biotic_typeA
PF02502	LacAB_rpiB
PF00356	LacI
PF02450	LCAT
PF04369	Lactococcin
PF01306	LacY_symp
PF00961	LAGLIDADG_1
PF02264	LamB
PF03746	LamB_YcsF
PF02061	Lambda_CIII
PF00052	Laminin_B
PF00053	Laminin_EGF
PF00054	Laminin_G_1
PF00055	Laminin_N
PF01299	Lamp
PF05147	LANC_like
PF04738	Lant_dehyd_C
PF04737	Lant_dehyd_N
PF00500	Late_protein_L1
PF00513	Late_protein_L2
PF02354	Latrophilin
PF01273	LBP_BPI_CETP
PF02886	LBP_BPI_CETP_C
PF03815	LCCL
PF04072	LCM
PF04792	LcrV
PF00056	Ldh_1_N
PF02615	Ldh_2
PF02866	Ldh_1_C
PF00058	Ldl_recept_b
PF03760	LEA_1
PF03168	LEA_2
PF03242	LEA_3
PF00059	Lectin_C
PF03041	Baculo_LEF-2
PF03388	Lectin_leg-like
PF00139	Lectin_legB
PF03954	Lectin_N
PF05098	LEF-4
PF04941	LEF-8
PF05094	LEF-9
PF05150	Legionella_OMP
PF03020	LEM
PF04011	LemA
PF02998	Lentiviral_Tat
PF02024	Leptin
PF03588	Leu_Phe_trans
PF01819	Levi_coat
PF01726	LexA_DNA_bind
PF01790	LGT
PF00556	LHC
PF04991	LicD
PF01291	LIF_OSM
PF00549	Ligase_CoA
PF00412	LIM
PF01803	LIM_bind
PF00538	Linker_histone
PF04454	Linocin_M18
PF03583	LIP
PF03279	Lip_A_acyltrans
PF00151	Lipase
PF01674	Lipase_2
PF03280	Lipase_chap
PF00657	Lipase_GDSL
PF00061	Lipocalin
PF00820	Lipoprotein_1
PF03202	Lipoprotein_10
PF03260	Lipoprotein_11
PF03330	DPBB_1
PF03640	Lipoprotein_15
PF04791	LMBR1
PF03923	Lipoprotein_16
PF04200	Lipoprotein_17
PF00921	Lipoprotein_2
PF00938	Lipoprotein_3
PF01298	Lipoprotein_5
PF01441	Lipoprotein_6
PF01540	Lipoprotein_7
PF02030	Lipoprotein_8
PF03305	Lipoprotein_X
PF00305	Lipoxygenase
PF04778	LMP
PF01451	LMWPc
PF03548	LolA
PF03550	LolB
PF04728	LPP
PF02169	LPP20
PF04348	LppC
PF02684	LpxB
PF03331	LpxC
PF02606	LpxK
PF03788	LrgA
PF04172	LrgB
PF01462	LRRNT
PF01816	LRV
PF05083	LST1
PF00677	Lum_binding
PF00894	Luteo_coat
PF02122	Peptidase_S39
PF04662	Luteo_PO
PF01659	Luteo_Vpg
PF04443	LuxE
PF02664	LuxS
PF00206	Lyase_1
PF02278	Lyase_8
PF02884	Lyase_8_C
PF00062	Lys
PF01810	LysE
PF03641	Lysine_decarbox
PF02402	Lysis_col
PF04971	Lysis_S
PF01186	Lysyl_oxidase
PF02401	LYTB
PF04397	LytTR
PF02370	M
PF03855	M-factor
PF05034	MAAL_N
PF03281	Mab-21
PF01823	MACPF
PF03523	Macscav_rec
PF03817	MadL
PF03818	MadM
PF02545	Maf
PF02792	Mago_nashi
PF03082	MAGSP
PF04112	Mak10
PF04874	Mak16
PF01274	Malate_synthase
PF02330	MAM33
PF02157	Man-6-P_recep
PF01232	Mannitol_dh
PF01050	MannoseP_isomer
PF05007	Mannosyl_trans
PF01575	MaoC_dehydratas
PF03642	MAP
PF02991	Atg8
PF00414	MAP1B_neuraxin
PF01124	MAPEG
PF01914	MarC
PF02063	MARCKS
PF02124	Marek_A
PF01047	MarR
PF02064	MAS20
PF04769	MAT_Alpha1
PF01554	MatE
PF01824	MatK_N
PF00661	Matrix
PF03819	MazG
PF04837	MbeB_N
PF04899	MbeD_MobD
PF03621	MbtH
PF02289	MCH
PF00493	MCM
PF00015	MCPsignal
PF02993	MCPVI
PF02249	MCR_alpha
PF02745	MCR_alpha_N
PF02241	MCR_beta
PF02783	MCR_beta_N
PF02505	MCR_D
PF02240	MCR_gamma
PF02315	MDH
PF04349	MdoG
PF02975	Me-amine-dh_L
PF04934	Med6
PF03525	Meiotic_rec114
PF03243	MerB
PF02065	Melibiase
PF01372	Melittin
PF02964	MeMO_Hyd_G
PF03203	MerC
PF05052	MerE
PF00376	MerR
PF02411	MerT
PF02475	Met_10
PF02965	Met_synt_B12
PF03724	META
PF01676	Metalloenzyme
PF02066	Metallothio_11
PF01439	Metallothio_2
PF02067	Metallothio_5
PF02068	Metallothio_PEC
PF02069	Metallothio_Pro
PF00131	Metallothio
PF01717	Meth_synt_2
PF01035	DNA_binding_1
PF02870	Methyltransf_1N
PF00891	Methyltransf_2
PF01596	Methyltransf_3
PF02390	Methyltransf_4
PF03737	Methyltransf_6
PF03492	Methyltransf_7
PF02086	MethyltransfD12
PF01340	MetJ
PF04648	MF_alpha
PF04202	Mfp-3
PF01078	Mg_chelatase
PF05043	Mga
PF05220	MgpC
PF02308	MgtC
PF03448	MgtE_N
PF03165	MH1
PF03166	MH2
PF00129	MHC_I
PF03707	MHYT
PF02426	MIase
PF03526	Microcin
PF04687	Microvir_H
PF04726	Microvir_J
PF04517	Microvir_lysis
PF04478	Mid2
PF01187	MIF
PF03775	MinC_C
PF05209	MinC_N
PF03776	MinE
PF00230	MIP
PF03094	Mlo
PF03304	Mlp
PF03562	MltA
PF01642	MM_CoA_mutase
PF03972	MmgE_PrpD
PF02406	MmoB_DmpM
PF03176	MMPL
PF01926	MMR_HSR1
PF01054	MMTV_SAg
PF05067	Mn_catalase
PF03962	Mnd1
PF04039	MnhB
PF01899	MNHE
PF03404	Mo-co_dimer
PF01967	MoaC
PF02391	MoaE
PF01076	Mob_Pre
PF03389	MobA_MobL
PF03205	MobB
PF04698	Rab_eff_C
PF05161	MOFRL
PF04603	Mog1
PF04879	Molybdop_Fe4S4
PF00384	Molybdopterin
PF01568	Molydop_binding
PF04744	Monooxygenase_B
PF03473	MOSC
PF02722	MOSP_C
PF02707	MOSP_N
PF01618	MotA_ExbB
PF04006	Mpp10
PF05172	Nup35_RRM
PF01188	MR_MLE
PF02746	MR_MLE_N
PF04152	Mre11_DNA_bind
PF04085	MreC
PF04093	MreD
PF03919	mRNA_cap_C
PF01331	mRNA_cap_enzyme
PF02940	mRNA_triPase
PF02349	MSG
PF04066	MrpF_PhaF
PF04471	Mrr_cat
PF00924	MS_channel
PF00985	MSA_2
PF01741	MscL
PF01716	MSP
PF03429	MSP1b
PF04421	Mss4
PF03940	MSSP
PF05063	MT-A70
PF01993	MTD
PF02536	mTERF
PF02219	MTHFR
PF05068	MtlR
PF03083	MtN3_slv
PF03821	Mtp
PF04208	MtrA
PF04211	MtrC
PF04207	MtrD
PF04206	MtrE
PF04210	MtrG
PF02007	MtrH
PF05175	MTS
PF02416	MttA_Hcf106
PF02316	HTH_Tnp_Mu_1
PF02914	DDE_2
PF03888	MucB_RseB
PF03108	DBD_Tnp_Mut
PF04310	MukB
PF04288	MukE
PF00893	Multi_Drug_Res
PF01225	Mur_ligase
PF02875	Mur_ligase_C
PF02873	MurB_C
PF02976	MutH
PF01624	MutS_I
PF05188	MutS_II
PF05192	MutS_III
PF05190	MutS_IV
PF00488	MutS_V
PF03023	MVIN
PF02344	Myc-LZ
PF01056	Myc_N
PF01669	Myelin_MBP
PF01275	Myelin_PLP
PF00063	Myosin_head
PF01576	Myosin_tail_1
PF00819	Myotoxins
PF02384	N6_Mtase
PF01555	N6_N4_Mtase
PF04245	NA37
PF01235	Na_Ala_symp
PF03390	2HCT
PF03553	Na_H_antiporter
PF00287	Na_K-ATPase
PF00939	Na_sulph_symp
PF04902	Nab1
PF01849	NAC
PF00175	NAD_binding_1
PF03446	NAD_binding_2
PF03447	NAD_binding_3
PF01210	NAD_Gly3P_dh_N
PF01513	NAD_kinase
PF02540	NAD_synthase
PF00146	NADHdh
PF02477	Nairo_nucleo
PF04131	NanE
PF04660	Nanovirus_coat
PF00956	NAP
PF03892	NapB
PF03927	NapD
PF03059	NAS
PF04159	NB
PF00931	NB-ARC
PF04485	NblA
PF03801	Ndc80_HEC
PF00334	NDK
PF05031	NEAT
PF00880	Nebulin
PF04299	FMN_bind_2
PF00960	Neocarzinostat
PF03391	Nepo_coat
PF03688	Nepo_coat_C
PF03689	Nepo_coat_N
PF00064	Neur
PF02932	Neur_chan_memb
PF02158	Neuregulin
PF03823	Neurokinin_B
PF00243	NGF
PF02979	NHase_alpha
PF02211	NHase_beta
PF01292	Ni_hydr_CYTB
PF04097	Nic96
PF03824	NicO
PF00374	NiFeSe_Hases
PF04891	NifQ
PF01106	NifU
PF01592	NifU_N
PF03206	NifW
PF04319	NifZ
PF01077	NIR_SIR
PF03460	NIR_SIR_ferr
PF02665	Nitrate_red_gam
PF02087	Nitrophorin
PF00881	Nitroreductase
PF05211	NLBH
PF04170	NlpE
PF04973	NMN_transporter
PF01233	NMT
PF02799	NMT_C
PF02070	NMU
PF03980	Nnf1
PF02898	NO_synthase
PF02474	NodA
PF01798	Nop
PF02451	Nodulin
PF01189	Nol1_Nop2_Fmu
PF04135	Nop10p
PF05048	NosD
PF04054	Not1
PF00066	Notch
PF03000	NPH3
PF03116	NQR2_RnfD_RnfE
PF01566	Nramp
PF03813	Nrap
PF03916	NrfD
PF02723	NS3_envE
PF02071	NSF
PF05064	Nsp1_C
PF03146	NtA
PF02136	NTF2
PF00483	NTP_transferase
PF05014	Nuc_deoxyrib_tr
PF03825	Nuc_H_symport
PF02321	OEP
PF02265	S1-P1_nuclease
PF03066	Nucleoplasmin
PF03177	Nucleoporin_C
PF01773	Nucleos_tra2_N
PF03800	Nuf2
PF04121	Nup84_Nup100
PF01029	NusB
PF02357	NusG
PF04277	OAD_gamma
PF03977	OAD_beta
PF04225	OapA
PF03373	Octapeptide
PF02317	Octopine_DH
PF02101	Ocular_alb
PF02100	ODC_AZ
PF02423	OCD_Mu_crystall
PF02159	Oest_recep
PF04664	OGFr_N
PF04680	OGFr_III
PF04606	Ogr_Delta
PF01276	OKR_DC_1
PF03711	OKR_DC_1_C
PF03709	OKR_DC_1_N
PF01277	Oleosin
PF02191	OLF
PF00691	OmpA
PF01389	OmpA_membrane
PF03938	OmpH
PF01278	Omptin
PF03922	OmpW
PF03532	OMS28_porin
PF02462	Opacity
PF01160	Opiods_neuropep
PF04966	OprB
PF03573	OprD
PF03169	OPT
PF04069	OpuAC
PF01718	Orbi_NS1
PF01616	Orbi_NS3
PF00898	Orbi_VP2
PF01700	Orbi_VP3
PF05059	Orbi_VP4
PF00901	Orbi_VP5
PF01516	Orbi_VP6
PF00897	Orbi_VP7
PF02072	Orexin
PF03827	Orexin_rec2
PF02999	Borrelia_orfD
PF04160	Borrelia_orfX
PF04061	ORMDL
PF02784	Orn_Arg_deC_N
PF00278	Orn_DAP_Arg_deC
PF02088	Ornatin
PF02250	Orthopox_35kD
PF00213	OSCP
PF02566	OsmC
PF03207	OspD
PF02471	OspE
PF03968	OstA
PF04453	OstA_C
PF00865	Osteopontin
PF00185	OTCace
PF02729	OTCace_N
PF02338	OTU
PF00724	Oxidored_FMN
PF00174	Oxidored_molyb
PF00148	Oxidored_nitro
PF00361	Oxidored_q1
PF00662	Oxidored_q1_N
PF00420	Oxidored_q2
PF00499	Oxidored_q3
PF00507	Oxidored_q4
PF01059	Oxidored_q5_N
PF01058	Oxidored_q6
PF01237	Oxysterol_BP
PF00543	P-II
PF04275	P-mevalo_kinase
PF04699	P16-Arc
PF00864	P2X_receptor
PF04045	P34-Arc
PF00067	p450
PF00870	P53
PF04636	PA26
PF02251	PA28_alpha
PF02252	PA28_beta
PF05138	PaaA_PaaC
PF02758	PYRIN
PF00658	PABP
PF03068	PAD
PF04371	PAD_porph
PF03551	PadR
PF03283	PAE
PF03403	PAF-AH_p_II
PF03985	Paf1
PF02671	PAH
PF00221	Lyase_aromatic
PF02089	Palm_thioest
PF02569	Pantoate_ligase
PF02548	Pantoate_transf
PF02711	Pap_E4
PF04755	PAP_fibrillin
PF04926	PAP_RNA-bind
PF04795	PAPA-1
PF03333	PapB
PF03628	PapG_C
PF03627	PapG_N
PF03025	Papilloma_E5
PF02380	Papo_T_antigen
PF01507	PAPS_reduct
PF03285	Paralemmin
PF01508	Paramecium_SA
PF03210	Paramyx_P_V_C
PF00946	Mononeg_RNA_pol
PF01692	Paramyxo_C
PF00973	Paramyxo_ncap
PF02725	Paramyxo_NS_C
PF01806	Paramyxo_P
PF01279	Parathyroid
PF02195	ParBc
PF00644	PARP
PF02877	PARP_reg
PF01358	PARP_regulatory
PF00740	Parvo_coat
PF01057	Parvo_NS1
PF00989	PAS
PF03793	PASTA
PF00292	PAX
PF03535	Paxillin
PF03717	PBP_dimer
PF01395	PBP_GOBP
PF00427	PBS_linker_poly
PF03792	PBC
PF02229	PC4
PF01851	PC_rep
PF01135	PCMT
PF00705	PCNA_N
PF02747	PCNA_C
PF02429	PCP
PF01884	PcrB
PF04194	PDCD2_C
PF04868	PDE6_gamma
PF00233	PDEase_I
PF02112	PDEase_II
PF00341	PDGF
PF04692	PDGF_N
PF00800	PDT
PF03740	PdxJ
PF00595	PDZ
PF00544	Pec_lyase_C
PF05041	Pecanex_C
PF03211	Pectate_lyase
PF04191	PEMT
PF03965	Penicillinase_R
PF00805	Pentapeptide
PF00354	Pentaxin
PF02896	PEP-utilizers_C
PF01327	Pep_deformylase
PF01562	Pep_M12B_propep
PF03413	PepSY
PF00311	PEPcase
PF00821	PEPCK
PF01293	PEPCK_ATP
PF01195	Pept_tRNA_hydro
PF03564	DUF1759
PF03566	Peptidase_A21
PF02160	Peptidase_A3
PF01828	Peptidase_A4
PF01829	Peptidase_A6
PF01252	Peptidase_A8
PF01640	Peptidase_C10
PF03415	Peptidase_C11
PF01088	Peptidase_C12
PF01470	Peptidase_C15
PF01831	Peptidase_C16
PF00648	Peptidase_C2
PF01478	Peptidase_A24
PF03510	Peptidase_C24
PF01364	Peptidase_C25
PF03785	Peptidase_C25_C
PF03412	Peptidase_C39
PF00770	Peptidase_C5
PF03568	Peptidase_C50
PF03421	YopJ
PF03290	Peptidase_C57
PF00851	Peptidase_C6
PF01830	Peptidase_C7
PF03569	Peptidase_C8
PF01707	Peptidase_C9
PF00413	Peptidase_M10
PF00675	Peptidase_M16
PF00883	Peptidase_M17
PF01401	Peptidase_M2
PF00557	Peptidase_M24
PF01742	Peptidase_M27
PF02073	Peptidase_M29
PF01432	Peptidase_M3
PF02074	Peptidase_M32
PF02102	Peptidase_M35
PF02128	Peptidase_M36
PF01447	Peptidase_M4
PF03410	Peptidase_M44
PF01427	Peptidase_M15
PF01435	Peptidase_M48
PF03571	Peptidase_M49
PF02868	Peptidase_M4_C
PF04951	Peptidase_M55
PF02031	Peptidase_M7
PF01457	Peptidase_M8
PF01752	Peptidase_M9
PF00768	Peptidase_S11
PF02113	Peptidase_S13
PF02129	Peptidase_S15
PF00716	Peptidase_S21
PF00717	Peptidase_S24
PF03572	Peptidase_S41
PF03574	Peptidase_S48
PF03575	Peptidase_S51
PF03576	Peptidase_S58
PF00082	Peptidase_S8
PF00326	Peptidase_S9
PF03418	Peptidase_A25
PF01136	Peptidase_U32
PF03577	Peptidase_C69
PF03419	Peptidase_U4
PF03411	Peptidase_M74
PF01343	Peptidase_S49
PF03420	Peptidase_U9
PF03036	Perilipin
PF01497	Peripla_BP_2
PF00532	Peripla_BP_1
PF00141	peroxidase
PF01328	Peroxidase_2
PF04088	Peroxin-13_N
PF04882	Peroxin-3
PF03212	Pertactin
PF02917	Pertussis_S1
PF02918	Pertussis_S2S3
PF02529	PetG
PF05115	PetL
PF03742	PetN
PF04614	Pex19
PF04757	Pex2_Pex12
PF03011	PFEMP
PF00365	PFK
PF02901	PFL
PF01471	PG_binding_1
PF00300	His_Phos_1
PF00342	PGI
PF00162	PGK
PF00408	PGM_PMM_IV
PF02878	PGM_PMM_I
PF02879	PGM_PMM_II
PF02880	PGM_PMM_III
PF04608	PgpA
PF03334	PhaG_MnhG_YufB
PF02304	Phage_B
PF04717	Phage_base_V
PF03864	Phage_cap_E
PF05125	Phage_cap_P2
PF05144	Phage_CRI
PF02303	Phage_DNA_bind
PF02305	Phage_F
PF03335	Phage_fiber
PF03406	Phage_fiber_2
PF02306	Phage_G
PF04688	Phage_holin
PF04531	Phage_holin_1
PF04550	Phage_holin_2
PF05106	Phage_holin_3
PF05105	Phage_holin_4
PF00589	Phage_integrase
PF03245	Phage_lysis
PF00959	Phage_lysozyme
PF03863	Phage_mat-A
PF04233	Phage_Mu_F
PF05136	Phage_portal_2
PF05133	Phage_prot_Gp6
PF05135	Phage_connect_1
PF04492	Phage_rep_O
PF04984	Phage_sheath_1
PF04630	Phage_tail
PF05100	Phage_tail_L
PF04761	Phage_Treg
PF04985	Phage_tube
PF05155	Phage_X
PF02912	Phe_tRNA-synt_N
PF02332	Phenol_Hydrox
PF04663	Phenol_monoox
PF04674	Phi_1
PF03831	PhnA
PF02562	PhoH
PF02114	Phosducin
PF00068	Phospholip_A2_1
PF04185	Phosphoesterase
PF04272	Phospholamban
PF00922	Phosphoprotein
PF00343	Phosphorylase
PF00124	Photo_RC
PF01895	PhoU
PF00502	Phycobilisome
PF02333	Phytase
PF04833	COBRA
PF00360	PHY
PF03284	PHZA_PHZB
PF00388	PI-PLC-X
PF00387	PI-PLC-Y
PF02192	PI3K_p85B
PF00794	PI3K_rbd
PF00613	PI3Ka
PF02226	Pico_P1A
PF00947	Pico_P2A
PF01552	Pico_P2B
PF00345	PapD_N
PF02753	PapD_C
PF00114	Pilin
PF05137	PilN
PF04350	PilO
PF04351	PilP
PF04697	Pinin_SDK_N
PF00224	PK
PF02887	PK_C
PF02827	PKI
PF02173	pKID
PF03832	WSK
PF00069	Pkinase
PF00433	Pkinase_C
PF02253	PLA1
PF01735	PLA2_B
PF02988	PLA2_inh
PF00321	Thionin
PF01307	Plant_vir_prot
PF04819	DUF716
PF05015	Plasmid_killer
PF01672	Plasmid_parti
PF05016	Plasmid_stabil
PF00681	Plectin
PF01523	PmbA_TldD
PF03332	PMM
PF03901	Glyco_transf_22
PF00822	PMP22_Claudin
PF01625	PMSR
PF02366	PMT
PF03393	Pneumo_matrix
PF03246	Pneumo_ncap
PF03438	Pneumo_NS1
PF02478	Pneumo_phosprot
PF01048	PNP_UDP_1
PF02233	PNTB
PF03833	PolC_DP2
PF01620	Pollen_allerg_2
PF01190	Pollen_Ole_e_I
PF00659	POLO_box
PF02563	Poly_export
PF01743	PolyA_pol
PF01518	PolyG_pol
PF00738	Polyhedrin
PF03364	Polyketide_cyc
PF01736	Polyoma_agno
PF00718	Polyoma_coat
PF00761	Polyoma_coat2
PF00348	polyprenyl_synt
PF01943	Polysacc_synt
PF02719	Polysacc_synt_2
PF02530	Porin_2
PF01379	Porphobil_deam
PF03900	Porphobil_deamC
PF00280	potato_inhibit
PF00767	Poty_coat
PF00157	Pou
PF05061	Pox_A11
PF04651	Pox_A12
PF04848	Pox_A22
PF04584	Pox_A28
PF04665	Pox_A32
PF04948	Pox_A51
PF04924	Pox_A6
PF04745	Pox_A8
PF04835	Pox_A9
PF04508	Pox_A_type_inc
PF03286	Pox_Ag35
PF03336	Pox_C4_C10
PF03287	Pox_C7_F8A
PF04701	Pox_D2
PF00874	PRD
PF04580	Pox_D3
PF03288	Pox_D5
PF04805	Pox_E10
PF04497	Pox_E2-like
PF04656	Pox_E6
PF03394	Pox_E8
PF04943	Pox_F11
PF03337	Pox_F12L
PF04596	Pox_F15
PF04708	Pox_F16
PF04767	Pox_F17
PF04599	Pox_G5
PF04787	Pox_H7
PF03289	Pox_I1
PF04661	Pox_I3
PF04713	Pox_I5
PF04595	Pox_I6
PF03338	Pox_J1
PF03339	Pox_L3_FP4
PF00485	PRK
PF04872	Pox_L5
PF03356	Pox_LP_H2
PF04887	Pox_M2
PF03341	Pox_mRNA-cap
PF03213	Pox_P35
PF03395	Pox_P4A
PF03292	Pox_P4B
PF03296	Pox_polyA_pol
PF03294	Pox_Rap94
PF03340	Pox_Rif
PF03293	Pox_RNA_pol
PF03396	Pox_RNA_pol_35
PF04490	Pox_T4_C
PF04491	Pox_T4_N
PF03295	Pox_TAA1
PF03355	Pox_TAP
PF04441	Pox_VERT_large
PF04947	Pox_VLTF3
PF04498	Pox_VP8_L4R
PF04395	Poxvirus_B22R
PF00550	PP-binding
PF02503	PP_kinase
PF03012	PP_M1
PF02818	PPAK
PF01326	PPDK_N
PF01239	PPTA
PF02541	Ppx-GppA
PF04403	PqiA
PF01502	PRA-CH
PF01503	PRA-PH
PF03208	PRA1
PF00697	PRAI
PF03967	PRCH
PF00432	Prenyltrans
PF01080	Presenilin
